Domain Code,Domain,Area Code,Area,Indicator Code,Indicator,Source Code,FAO Source,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OE","Employment Indicators","ALB","Albania","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2018","2018","%","2.520836","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Employment definition: Including subsistence workers"
"OE","Employment Indicators","DZA","Algeria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","5.12431","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Data reference period: September"
"OE","Employment Indicators","DZA","Algeria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","5.853791","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Data reference period: September"
"OE","Employment Indicators","AND","Andorra","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","0.341151","X","International reliable sources",""
"OE","Employment Indicators","AND","Andorra","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","0.353935","X","International reliable sources",""
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1991","1991","%","0.280544","X","International reliable sources","Break in series: Methodology revised Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1992","1992","%","0.333886","X","International reliable sources","Break in series: Methodology revised Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1993","1993","%","0.312281","X","International reliable sources","Break in series: Methodology revised Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1994","1994","%","0.252229","X","International reliable sources","Break in series: Methodology revised Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1995","1995","%","0.412477","X","International reliable sources","Break in series: Methodology revised Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1996","1996","%","0.603764","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1997","1997","%","0.656902","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1998","1998","%","0.582199","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1999","1999","%","0.580117","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2000","2000","%","0.54711","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2001","2001","%","0.676237","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2002","2002","%","0.89226","X","International reliable sources","Break in series: Methodology revised Data reference period: Incomplete year | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2003","2003","%","1.284659","X","International reliable sources","Break in series: Other or unspecified type of break Data reference period: Second semester | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 10 years old"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2004","2004","%","1.429619","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2005","2005","%","1.148393","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2006","2006","%","0.874504","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","0.753869","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2009","2009","%","0.789337","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2010","2010","%","0.707331","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2011","2011","%","0.545546","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2012","2012","%","0.513397","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2013","2013","%","0.558967","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","0.553332","X","International reliable sources","Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations requ"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","0.069461","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARG","Argentina","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2018","2018","%","0.104509","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","3.115942","X","International reliable sources","Population coverage: Including armed forces and/or conscripts | Age coverage - minimum age: 16 years old"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","2.355999","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","0.910404","X","International reliable sources","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2015","2015","%","2.06568","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2016","2016","%","1.709122","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OE","Employment Indicators","ARM","Armenia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","1.808713","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OE","Employment Indicators","ABW","Aruba","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","0.511679","X","International reliable sources","Data reference period: October"
"OE","Employment Indicators","ABW","Aruba","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2011","2011","%","0.542037","X","International reliable sources",""
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1990","1990","%","2.385329","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1991","1991","%","2.344728","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1992","1992","%","2.19695","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1993","1993","%","2.128924","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1994","1994","%","2.190576","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1995","1995","%","2.218727","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1996","1996","%","2.33184","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1997","1997","%","2.419468","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1998","1998","%","2.458674","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1999","1999","%","2.531361","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2000","2000","%","2.610605","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2004","2004","%","2.177078","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2005","2005","%","2.104987","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2006","2006","%","1.955602","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","1.892032","X","International reliable sources","Repository: OECD"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","1.509177","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Data reference period: August | Geographical coverage: Total national, excluding overseas territories | Population coverage: Excluding both institutional population and armed forces and/or"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2009","2009","%","1.451277","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2010","2010","%","1.480605","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2011","2011","%","1.476852","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2012","2012","%","1.463735","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2013","2013","%","1.378803","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","1.35675","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2015","2015","%","1.347021","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2016","2016","%","1.487371","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","1.501165","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUS","Australia","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2018","2018","%","1.47018","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Employment definition: Other nonstandard definition | Geographical coverage: Total national, excluding overseas territories | Population coverage: Nonstandard population coverage"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1995","1995","%","1.130478","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1996","1996","%","1.162476","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1997","1997","%","1.05194","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1998","1998","%","1.015","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1999","1999","%","1.023226","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2000","2000","%","1.032121","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2001","2001","%","0.984688","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2002","2002","%","1.099989","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2003","2003","%","1.237981","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2004","2004","%","1.0159","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2005","2005","%","0.974235","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2006","2006","%","1.070229","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","1.099843","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","0.83517","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2009","2009","%","0.952783","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2010","2010","%","0.976432","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2011","2011","%","0.765498","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2012","2012","%","0.75434","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2013","2013","%","0.726179","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2014","2014","%","0.793126","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2015","2015","%","0.841216","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2016","2016","%","0.833281","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","0.780741","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AUT","Austria","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2018","2018","%","0.838354","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","AZE","Azerbaijan","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2003","2003","%","8.548859","X","International reliable sources","Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","AZE","Azerbaijan","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2006","2006","%","4.065089","X","International reliable sources","Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","AZE","Azerbaijan","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2007","2007","%","11.05378","X","International reliable sources","Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","AZE","Azerbaijan","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2008","2008","%","8.887338","X","International reliable sources","Population coverage: Excluding armed forces and/or conscripts"
"OE","Employment Indicators","BGD","Bangladesh","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2006","2006","%","33.19649","X","International reliable sources","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","BGD","Bangladesh","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2010","2010","%","32.89314","X","International reliable sources","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","BGD","Bangladesh","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2013","2013","%","24.3541","X","International reliable sources","Break in series: Methodology revised Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","BGD","Bangladesh","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2016","2016","%","22.25648","X","International reliable sources","Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"OE","Employment Indicators","BGD","Bangladesh","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","2017","2017","%","19.55612","X","International reliable sources","Repository: ILO-STATISTICS - Micro data processing"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1983","1983","%","0.34797","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1984","1984","%","0.368471","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1985","1985","%","0.38081","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1986","1986","%","0.407146","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1987","1987","%","0.437467","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1988","1988","%","0.363993","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1989","1989","%","0.372928","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1990","1990","%","0.490046","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1991","1991","%","0.396516","X","International reliable sources",""
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1992","1992","%","0.365689","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1993","1993","%","0.42885","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1994","1994","%","0.579696","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1995","1995","%","0.540711","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1996","1996","%","0.465429","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1997","1997","%","0.531326","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1998","1998","%","0.577862","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
"OE","Employment Indicators","BEL","Belgium","21081","Share of employees in agriculture (% of total employees)","3023","Labour force survey","1999","1999","%","0.747589","X","International reliable sources","Working time arrangement coverage: Full-time and part time workers Repository: Eurostat special tabulation"
