iso3c,date,value,indicatorID,indicator,iso2c,country
AFG,2010,11.4840002059937,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2011,11.4879999160767,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2012,33.4799995422363,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AF,Afghanistan
AFG,2012,11.5080003738403,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2012,1.69190001487732,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AF,Afghanistan
AFG,2013,11.5340003967285,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2014,11.4479999542236,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2015,11.3870000839233,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2016,11.3129997253418,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2017,15.4603996276855,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AF,Afghanistan
AFG,2017,16.1546001434326,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AF,Afghanistan
AFG,2017,11.1840000152588,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2017,11.1836004257202,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AF,Afghanistan
AFG,2018,11.0570001602173,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
AFG,2019,11.1180000305176,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AF,Afghanistan
ALB,1980,5.59999990463257,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1981,5.09999990463257,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1982,3.59999990463257,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1983,4.40000009536743,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1984,5.69999980926514,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1985,6.69999980926514,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1986,6.40000009536743,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1987,6.09999990463257,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1988,7,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1989,7.30000019073486,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1990,9.5,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1991,16.1900005340576,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1991,9.10000038146973,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1992,16.2859992980957,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1992,26.5,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1993,16.4780006408691,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1993,22.2999992370605,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1994,16.511999130249,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1994,18.3999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1995,16.5219993591309,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1995,12.8999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1996,16.5499992370605,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1996,12.3000001907349,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1997,16.5249996185303,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1997,14.8999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1998,16.5160007476807,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1998,17.7000007629395,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,1999,16.6110000610352,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,1999,18.3999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2000,16.5729999542236,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2000,16.7999992370605,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2001,16.5669994354248,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2001,16.3999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2002,16.6730003356934,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2002,15.8000001907349,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2003,16.6840000152588,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2003,15,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2004,16.5860004425049,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2004,14.3999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2005,16.4599990844727,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2005,14.1000003814697,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2006,16.1959991455078,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2006,13.8000001907349,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2007,18.9400005340576,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2007,15.6129999160767,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2007,18.2329998016357,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2007,15.9659996032715,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2007,15.9663000106812,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2008,23.2800006866455,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2008,12.6785001754761,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2008,15.6063003540039,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2008,13.0600004196167,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2008,13.0599002838135,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2009,21.8199996948242,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2009,16.2029991149902,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2009,15.601900100708,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2009,13.673999786377,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2009,13.6738996505737,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2010,23.9500007629395,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2010,14.1445999145508,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2010,15.7603998184204,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2010,14.0860004425049,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2010,14.0860004425049,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2011,49.3600006103516,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2011,15.6033000946045,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2011,14.601900100708,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2011,13.4809999465942,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2011,13.480899810791,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2012,28.9599990844727,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2012,15.7728996276855,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2012,14.8336000442505,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2012,13.3760004043579,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2012,13.3759002685547,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2013,25.8999996185303,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2013,14.8998003005981,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2013,18.7968997955322,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2013,15.8660001754761,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2013,15.8659000396729,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2014,32.5800018310547,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2014,17.1900005340576,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2014,21.3299999237061,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2014,17.4899997711182,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2014,17.4899997711182,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2015,30.3600006103516,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2015,19.1000003814697,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),AL,Albania
ALB,2015,20.3700008392334,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),AL,Albania
ALB,2015,17.0799999237061,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2015,17.0799999237061,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2016,15.2200002670288,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2017,23.9300003051758,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",AL,Albania
ALB,2017,13.75,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2017,13.75,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AL,Albania
ALB,2018,12.3400001525879,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
ALB,2019,12.331000328064,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",AL,Albania
DZA,1989,17.6399993896484,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1990,25,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1990,21.2600002288818,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1991,25,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1991,20.6000003814697,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1991,20.6000003814697,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1992,27,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1992,24.3799991607666,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1992,24.3799991607666,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1993,23.2,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1993,26.2299995422363,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1993,26.2299995422363,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1994,24.4,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1994,27.7399997711182,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1994,27.7399997711182,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1995,28.1,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1995,31.8400001525879,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1995,31.8400001525879,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1996,28,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1996,28.5849990844727,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1997,28,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1997,25.4300003051758,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1997,25.4300003051758,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,1998,28,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1998,26.8020000457764,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,1999,29.2,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,1999,28.3649997711182,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2000,29.5,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2000,29.7700004577637,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2000,29.7700004577637,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2001,27.3,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2001,27.2999992370605,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2001,27.2999992370605,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2002,25.9,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2002,25.8999996185303,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2002,25.8999996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2003,23.7,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2003,23.7199993133545,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2003,23.7199993133545,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2004,17.7,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2004,22.8299999237061,SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),DZ,Algeria
DZA,2004,22.4300003051758,SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),DZ,Algeria
DZA,2004,17.6499996185303,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2004,17.6499996185303,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2005,15.3,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2005,15.2700004577637,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2005,15.2700004577637,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2006,12.3,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2006,12.2700004577637,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2006,12.2700004577637,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2007,13.8,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2007,13.789999961853,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2007,13.789999961853,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2008,11.3,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2008,11.3299999237061,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2008,11.3299999237061,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2009,10.2,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2009,10.1599998474121,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2009,10.1599998474121,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2010,10,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2010,9.96000003814697,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2010,9.96000003814697,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2011,10,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2011,9.96000003814697,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2011,9.96000003814697,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2012,11,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2012,10.9700002670288,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2012,10.9700002670288,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2013,9.8,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2013,9.81999969482422,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2013,9.81999969482422,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2014,19.7700004577637,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",DZ,Algeria
DZA,2014,10.6,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2014,10.2069997787476,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2014,10.207200050354,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2015,11.2,UNEMPSA_,"Unemployment rate,Percent,,,",DZ,Algeria
DZA,2015,11.206000328064,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2015,11.2061004638672,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2016,10.2019996643066,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2016,10.2024002075195,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2017,19.3899993896484,SL.TLF.PART.ZS,"Part time employment, total (% of total employment)",DZ,Algeria
DZA,2017,11.996000289917,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2017,13.5699996948242,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",DZ,Algeria
DZA,2018,11.8819999694824,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
DZA,2019,11.7040004730225,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",DZ,Algeria
ASM,1974,12.9899997711182,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1975,17.2399997711182,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1976,19.0799999237061,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1977,14.8699998855591,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1978,13.789999961853,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1979,14.3500003814697,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1980,12.4099998474121,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
ASM,1981,12.6099996566772,SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)",AS,American Samoa
