countrycode,countryname,regioncode,coveragetype,year,datayear,datatype,isinterpolated,usemicrodata,ppp,povertyline,mean,headcount,povertygap,povertygapsq,watts,gini,median,mld,polarization,population,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,diff
ALB,Albania,ECA,N,2016,2016,consumption,0,1,58.16801,22.6,247.6767,0.9759217,0.6459035,0.4637383,1.213486,0.3370824,203.5201,0.1876481,NA,2.876101,0.02962,0.04366,0.05427,0.06419,0.0754,0.08895,0.1053,0.1275,0.1608,0.2503,0.0010582999999999565
ALB,Albania,ECA,N,2017,2017,consumption,0,1,58.16801,20.8,245.9924,0.9703864,0.6195355,0.4338836,1.13292,0.3317109,201.9203,0.1816586,NA,2.873457,0.03074,0.04445,0.05469,0.06499,0.07604,0.08907,0.1056,0.127,0.1597,0.2477,0.001269399999999976
ARG,Argentina,LAC,U,1980,1980,income,0,0,2.768382,10.4,796.8967,0.2058361,0.06801322,0.03212315,0.09347699,0.4083086,609.356,0.2918472,NA,23.296127,0.0201,0.03286,0.04493,0.05698,0.06969,0.08395,0.1012,0.1247,0.1638,0.3018,0.0032959999999999934
ARG,Argentina,LAC,U,1986,1986,income,0,0,2.768382,12.1,863.0112,0.2453508,0.0828082,0.03767027,0.1161773,0.4278756,635.2688,0.319819,NA,26.365972,0.01951,0.03164,0.04318,0.05476,0.06704,0.08088,0.09776,0.1209,0.16,0.3243,0.0030828999999999995
ARG,Argentina,LAC,U,1987,1987,income,0,0,2.768382,9.1,788.8666,0.2053442,0.06866521,0.03082999,0.09566095,0.4527689,557.7358,0.362684,NA,26.891584,0.01725,0.02884,0.04012,0.05164,0.06403,0.07815,0.09553,0.1195,0.1607,0.3442,0.0034329999999999916
ARG,Argentina,LAC,U,1987,1987,income,0,0,2.768382,9.2,788.8666,0.2087772,0.07016951,0.0316643,0.09798507,0.4527689,557.7358,0.362684,NA,26.891584,0.01725,0.02884,0.04012,0.05164,0.06403,0.07815,0.09553,0.1195,0.1607,0.3442,0.0034329999999999916
ARG,Argentina,LAC,U,1991,1991,income,0,1,2.768382,12.4,559.907,0.5268595,0.2045328,0.1098597,0.3005986,0.4676174,370.9952,0.4350875,NA,28.987585,0.01745,0.03069,0.04047,0.05019,0.06037,0.07248,0.08895,0.1152,0.1582,0.366,0.025551800000000013
ARG,Argentina,LAC,U,1992,1992,income,0,1,2.768382,14,564.6129,0.5544935,0.2364168,0.1346839,0.3562899,0.4546809,387.9738,0.390243,NA,29.462392,0.01602,0.02998,0.0407,0.05126,0.06209,0.07652,0.09423,0.1206,0.1657,0.3429,0.024487099999999984
ARG,Argentina,LAC,U,1993,1993,income,0,1,2.768382,12.8,566.0145,0.4975625,0.2065605,0.1184832,0.3117321,0.4485629,396.681,0.3879424,NA,29.933012,0.01484,0.02966,0.04098,0.05217,0.06421,0.07899,0.09672,0.1234,0.167,0.332,0.02752650000000001
ARG,Argentina,LAC,U,1994,1994,income,0,1,2.768382,12.4,558.6381,0.4961425,0.2079808,0.1193428,0.3031648,0.459168,383.2049,0.4110283,NA,30.397318,0.01496,0.02883,0.03958,0.05065,0.06317,0.07715,0.09503,0.121,0.1652,0.3444,0.03131999999999996
ARG,Argentina,LAC,U,1995,1995,income,0,1,2.768382,12.1,530.8553,0.5349771,0.2393069,0.1445335,0.3632803,0.489044,354.3608,0.4811141,NA,30.852828,0.01133,0.02629,0.03686,0.04735,0.05911,0.07357,0.09075,0.1169,0.1683,0.3696,0.02549099999999993
ARG,Argentina,LAC,U,1996,1996,income,0,1,2.768382,12.1,520.0662,0.5456217,0.2529954,0.1565683,0.3866945,0.4952443,339.9869,0.5106798,NA,31.298956,0.01035,0.02481,0.03557,0.0464,0.05834,0.07303,0.09203,0.1199,0.1708,0.36870000000000003,0.026822699999999977
ARG,Argentina,LAC,U,1997,1997,income,0,1,2.768382,12,544.8122,0.5220731,0.2360183,0.1450394,0.3631054,0.4911048,363.9732,0.4894943,NA,31.735996,0.01083,0.02468,0.03516,0.04687,0.05938,0.07306,0.09277,0.1207,0.1729,0.3636,0.028056999999999943
ARG,Argentina,LAC,U,1998,1998,income,0,1,2.768382,11.9,529.1501,0.5489117,0.2550068,0.1574245,0.4042925,0.5073364,333.0621,0.5092632,NA,32.167673,0.01065,0.02343,0.03365,0.04435,0.05636,0.07064,0.09055,0.1196,0.1703,0.3805,0.026321700000000003
ARG,Argentina,LAC,U,1999,1999,income,0,1,2.768382,12.1,504.4869,0.5648142,0.2656753,0.1654902,0.4205701,0.4979204,330.8386,0.4997418,NA,32.599189,0.01071,0.02419,0.03464,0.04524,0.05793,0.07297,0.09181,0.1209,0.1711,0.3705,0.027628000000000097
ARG,Argentina,LAC,U,2000,2000,income,0,1,2.768382,12.2,493.4414,0.5827874,0.2876353,0.1844387,0.473804,0.5106396,314.6525,0.5289445,NA,33.033754,0.009492,0.02237,0.03251,0.04326,0.05601,0.07173,0.09108,0.1221,0.1745,0.377,0.025367499999999987
ARG,Argentina,LAC,U,2001,2001,income,0,1,2.768382,6.2,454.2571,0.3672709,0.1693129,0.1099036,0.2437187,0.5334311,280.7319,0.6141587,NA,33.472924,0.006532,0.0193,0.03017,0.04075,0.05351,0.06911,0.08999,0.1206,0.1754,0.3946,0.0249201
ARG,Argentina,LAC,U,2002,2002,income,0,1,2.768382,8.9,319.208,0.6563817,0.3438215,0.2304406,0.6014334,0.5379376,192.6458,0.5756148,NA,33.914775,0.008744,0.01884,0.02899,0.04046,0.05325,0.06846,0.08687,0.1166,0.1727,0.4051,0.027839699999999912
ARG,Argentina,LAC,U,2003,2003,income,0,1,2.768382,3.9,449.362,0.1976966,0.07919679,0.04496653,0.1183257,0.5120186,282.8672,0.5090035,NA,34.35815,0.01011,0.02178,0.03183,0.04336,0.05579,0.07123,0.09251,0.1227,0.1723,0.3784,0.009320899999999993
ARG,Argentina,LAC,U,2004,2004,income,0,1,2.768382,3.8,485.1607,0.1561914,0.05806357,0.03148673,0.08381206,0.4859111,328.8506,0.451451,NA,34.801606,0.01146,0.02349,0.03454,0.04643,0.06004,0.07585,0.09581,0.1257,0.1736,0.3531,0.008554100000000009
ARG,Argentina,LAC,U,2005,2005,income,0,1,2.768382,6,533.4941,0.2398411,0.09542959,0.05315756,0.1445264,0.4795253,365.4397,0.4379411,NA,35.243074,0.01194,0.02461,0.03549,0.04758,0.06088,0.0766,0.09665,0.1247,0.1717,0.3499,0.007516700000000015
ARG,Argentina,LAC,U,2006,2006,income,0,1,2.768382,6.1,591.6978,0.2022392,0.08067488,0.04589909,0.1265165,0.4670954,416.9194,0.4216779,NA,35.682119,0.01183,0.02559,0.03719,0.04934,0.06299,0.07912,0.09967,0.1261,0.1697,0.3385,0.006253300000000017
ARG,Argentina,LAC,U,2007,2007,income,0,1,2.768382,12,610.168,0.4311136,0.1923105,0.1134333,0.3107756,0.4658322,430.5411,0.4170358,NA,36.119493,0.01285,0.0261,0.03667,0.04909,0.06286,0.07915,0.09956,0.1257,0.17,0.338,0.008779199999999987
ARG,Argentina,LAC,U,2008,2008,income,0,1,2.768382,9.6,626.3756,0.3154427,0.1310513,0.07542274,0.2097273,0.4529903,452.7207,0.3967625,NA,36.558177,0.01274,0.0271,0.03902,0.05127,0.06458,0.08076,0.1006,0.128,0.1708,0.3252,0.00703400000000004
ARG,Argentina,LAC,U,2009,2009,income,0,1,2.768382,6.8,649.1746,0.1836815,0.07222837,0.04076785,0.1121048,0.4413974,484.8216,0.3788813,NA,37.00139,0.01306,0.02784,0.04019,0.0529,0.06675,0.08296,0.1023,0.1288,0.1713,0.3139,0.0059728
ARG,Argentina,LAC,U,2010,2010,income,0,1,2.768382,8.5,667.7832,0.2415766,0.09530124,0.05366719,0.1496841,0.4445882,495.3716,0.3801709,NA,37.451491,0.01334,0.02804,0.03996,0.05231,0.06636,0.08257,0.1012,0.1264,0.1699,0.32,0.0067626000000000075
ARG,Argentina,LAC,U,2011,2011,income,0,1,2.768382,7.8,717.1944,0.1696576,0.05712413,0.02788184,0.08073423,0.4273767,529.9498,0.3333819,NA,37.903594,0.01702,0.03076,0.04201,0.05392,0.06689,0.08302,0.1014,0.1266,0.1684,0.31,0.0056326999999999905
ARG,Argentina,LAC,U,2012,2012,income,0,1,2.768382,14,711.0106,0.3892312,0.1515103,0.08130877,0.2313866,0.4137999,540.9735,0.314486,NA,38.35897,0.01736,0.0324,0.04372,0.05543,0.06847,0.08498,0.104,0.1287,0.1683,0.2967,0.0066930000000000045
ARG,Argentina,LAC,U,2013,2013,income,0,1,2.768382,13.9,713.7309,0.3779991,0.1476226,0.07863319,0.2219955,0.4101386,549.2243,0.310805,NA,38.817256,0.01777,0.03244,0.04379,0.05582,0.06955,0.0858,0.1047,0.1289,0.1675,0.2937,0.006286299999999967
ARG,Argentina,LAC,U,2014,2014,income,0,1,2.768382,10.6,668.6106,0.3012199,0.1061979,0.05313293,0.1531505,0.4170123,501.305,0.3167538,NA,39.275219,0.01825,0.03221,0.04299,0.05407,0.067780000000000007,0.08375,0.1034,0.1291,0.1693,0.2992,0.006457700000000011
ARG,Argentina,LAC,U,2016,2016,income,0,1,2.768382,7.1,701.3488,0.143918,0.04611,0.02221901,0.0641155,0.420215,529.6874,0.32365,NA,40.176085,0.01762,0.03153,0.04283,0.05454,0.06788,0.08385,0.1023,0.1281,0.1679,0.3034,0.005653499999999978
ARG,Argentina,LAC,U,2017,2017,income,0,1,2.768382,11.7,732.4465,0.2934693,0.10523,0.05406206,0.1542211,0.4119979,557.4263,0.3123076,NA,40.618237,0.01773,0.0329,0.04403,0.05558,0.06896,0.08482,0.1036,0.1282,0.1673,0.2969,0.007211899999999993
ARG,Argentina,LAC,U,2018,2018,income,0,1,2.768382,24.8,659.9868,0.7003569,0.3441026,0.2118986,0.5780592,0.4138425,506.1692,0.3155912,NA,40.877099,0.01753,0.03226,0.04377,0.05573,0.06896,0.08489,0.1036,0.1279,0.1668,0.2985,0.005045599999999983
ARM,Armenia,ECA,N,1996,1996,income,0,0,183.7796,2,162.4389,0.1989141,0.05526841,0.02214476,0.07295979,0.4441862,111.9821,0.3354787,NA,3.168215,0.02296,0.03236,0.04186,0.05187,0.06291,0.07575,0.09185,0.1144,0.1538,0.3522,0.0198643
ARM,Armenia,ECA,N,1999,1999,consumption,0,1,183.7796,2.4,122.4167,0.3235085,0.08294007,0.03222974,0.1079969,0.3621972,94.23082,0.21843,NA,3.089017,0.03043,0.04518,0.05403,0.06192,0.07164,0.08272,0.09658,0.1158,0.1455,0.2963,0.03599409999999997
ARM,Armenia,ECA,N,2001,2001,consumption,0,1,183.7796,2.3,116.3193,0.313184,0.08038684,0.03047157,0.1042802,0.3536436,90.52011,0.2063374,NA,3.050655,0.0319,0.04538,0.05485,0.06395,0.07321,0.08311,0.09517,0.1134,0.1481,0.291,0.034257499999999996
ARM,Armenia,ECA,N,2002,2002,consumption,0,1,183.7796,2.6,122.0151,0.3592674,0.09129827,0.0344267,0.1177972,0.3477967,94.93779,0.2000021,NA,3.033897,0.03336,0.0471,0.05603,0.0643,0.07312,0.08285,0.09526,0.1129,0.1451,0.29,0.03621380000000002
ARM,Armenia,ECA,N,2003,2003,consumption,0,1,183.7796,2.2,125.4052,0.1891119,0.03770499,0.01158982,0.04582501,0.3302809,100.0204,0.1820947,NA,3.017806,0.03683,0.04981,0.05833,0.06614,0.07487,0.08454,0.09568,0.1122,0.1396,0.282,0.03343389999999999
ARM,Armenia,ECA,N,2004,2004,consumption,0,1,183.7796,2.9,155.4804,0.2952505,0.07243867,0.02751707,0.09433458,0.3750563,115.9195,0.2373834,NA,3.000612,0.03076,0.04509,0.05326,0.06146,0.07015,0.07968,0.09251,0.1094,0.1408,0.3169,0.028413100000000024
ARM,Armenia,ECA,N,2005,2005,consumption,0,1,183.7796,3.3,171.3197,0.2958841,0.06809623,0.02452682,0.0869389,0.3599235,130.5109,0.217763,NA,2.981259,0.03334,0.04719,0.05535,0.06281,0.07127,0.08103,0.09263,0.1096,0.139,0.3078,0.027155600000000002
ARM,Armenia,ECA,N,2006,2006,consumption,0,1,183.7796,3,165.3654,0.1823436,0.03843222,0.01275195,0.04766637,0.2970998,140.1044,0.1458727,NA,2.9585,0.03731,0.052,0.06139,0.07008,0.07954,0.09044,0.1025,0.1188,0.1434,0.2445,0.024697599999999986
ARM,Armenia,ECA,N,2007,2007,consumption,0,1,183.7796,3.6,184.2015,0.2561818,0.061011,0.02163011,0.07723373,0.3122606,153.5383,0.1601372,NA,2.933056,0.0351,0.04896,0.0589,0.06909,0.07864,0.08848,0.1013,0.1195,0.1489,0.2512,0.020338100000000026
ARM,Armenia,ECA,N,2008,2008,consumption,0,1,183.7796,3.6,188.2736,0.2194115,0.0434031,0.01408345,0.05379079,0.2918814,159.8224,0.1397946,NA,2.90822,0.03854,0.05267,0.0608,0.06992,0.0795,0.09063,0.1041,0.1203,0.1466,0.2369,0.023006600000000016
ARM,Armenia,ECA,N,2009,2009,consumption,0,1,183.7796,3.7,167.3352,0.2980273,0.06652396,0.02228527,0.08260813,0.2801588,142.9649,0.127764,NA,2.888584,0.0399,0.05384,0.06328,0.07171,0.08072,0.09106,0.1037,0.1204,0.1462,0.2292,0.02621889999999999
ARM,Armenia,ECA,N,2010,2010,consumption,0,1,183.7796,4.6,170.8403,0.484441,0.1330743,0.05076531,0.17114,0.2999258,142.119,0.1487553,NA,2.877311,0.0389,0.05214,0.06075,0.06974,0.07907,0.0886,0.1004,0.1166,0.1435,0.2503,0.025610999999999995
ARM,Armenia,ECA,N,2011,2011,consumption,0,1,183.7796,3.4,174.39940000000001,0.2289124,0.04813517,0.01557728,0.05926115,0.2935295,148.3613,0.1415771,NA,2.875581,0.0383,0.05207,0.0614,0.07065,0.07988,0.09002,0.1024,0.1197,0.1459,0.2397,0.024830099999999994
ARM,Armenia,ECA,N,2012,2012,consumption,0,1,183.7796,3.2,180.6668,0.1710122,0.03381264,0.01052567,0.04127562,0.2960226,152.9493,0.1451349,NA,2.881922,0.03791,0.05203,0.06113,0.07067,0.08014,0.09054,0.1023,0.1179,0.142,0.2454,0.021864999999999996
ARM,Armenia,ECA,N,2013,2013,consumption,0,1,183.7796,3.9,187.4612,0.2939666,0.06925119,0.02521584,0.088681,0.3057966,158.3366,0.1565597,NA,2.893509,0.03564,0.0506,0.05979,0.06904,0.07927,0.08988,0.1026,0.1193,0.1471,0.2469,0.022261100000000034
ARM,Armenia,ECA,N,2014,2014,consumption,0,1,183.7796,3.4,192.2681,0.197031,0.042926,0.01466057,0.05371905,0.3148329,161.5924,0.1651664,NA,2.90622,0.03516,0.04933,0.05851,0.0681,0.07856,0.09006,0.1019,0.1178,0.1431,0.2574,0.02141180000000001
ARM,Armenia,ECA,N,2015,2015,consumption,0,1,183.7796,3.6,206.1151,0.2014455,0.04524962,0.01600499,0.05730091,0.3235677,170.5916,0.1763798,NA,2.91695,0.03378,0.04844,0.0577,0.06795,0.07811,0.0892,0.1015,0.1164,0.1395,0.2673,0.019303700000000007
ARM,Armenia,ECA,N,2016,2016,consumption,0,1,183.7796,4,216.9864,0.2621186,0.06277364,0.0224161,0.07945479,0.3254795,185.0733,0.1807564,NA,2.924816,0.03265,0.04586,0.05518,0.06598,0.07896,0.09148,0.1057,0.1226,0.1487,0.2528,0.018980599999999986
ARM,Armenia,ECA,N,2017,2017,consumption,0,1,183.7796,5,211.1128,0.4233605,0.1123468,0.04281135,0.1450579,0.3362184,167.2745,0.1908065,NA,2.93045,0.03497,0.04882,0.05771,0.06592,0.07461,0.0845,0.09611,0.1133,0.1403,0.2837,0.021147499999999986
ARM,Armenia,ECA,N,2018,2018,consumption,0,1,183.7796,21.3,211.0604,0.9740372,0.6939083,0.5164749,1.334052,0.344335,166.4533,0.2001983,NA,2.951776,0.03297,0.04808,0.05709,0.06535,0.07417,0.08457,0.09607,0.1117,0.138,0.292,8.258000000000987e-4
AUS,Australia,OHI,N,1981,1981,income,0,1,1.526641,23.8,1043.137,0.3550034,0.1049816,0.04981449,0.1647384,0.3132531,875.6871,0.1856566,NA,14.927,0.02776,0.04894,0.05986,0.06916,0.07834,0.09062,0.1065,0.1272,0.1584,0.2333,0.008299900000000027
AUS,Australia,OHI,N,1985,1985,income,0,1,1.526641,23,1077.87,0.3241445,0.09465252,0.04555436,0.1541075,0.3249769,889.9541,0.2018399,NA,15.758,0.02712,0.0476,0.05875,0.06729,0.07685,0.0894,0.104,0.1265,0.1596,0.2429,0.007435999999999998
AUS,Australia,OHI,N,1989,1989,income,0,1,1.526641,23.1,1107.754,0.3168634,0.095475,0.0458969,0.151895,0.33153,912.8876,0.2065661,NA,16.8144,0.02631,0.04633,0.05718,0.06652,0.07652,0.08969,0.1055,0.1262,0.1589,0.247,0.0068342000000000125
AUS,Australia,OHI,N,1995,1995,income,0,1,1.526641,23.3,1020.029,0.3801678,0.1118165,0.05139586,0.1566173,0.3258138,839.9084,0.2065597,NA,18.072,0.02846,0.04719,0.0578,0.067,0.07708,0.0895,0.1044,0.1247,0.1576,0.2463,0.009991499999999987
AUS,Australia,OHI,N,2001,2001,income,0,1,1.526641,23.8,1175.202,0.3146181,0.08910276,0.04131709,0.1243628,0.3346417,953.8409,0.2172699,NA,19.413,0.0274,0.04641,0.05617,0.06517,0.07552,0.08897,0.1045,0.1268,0.1582,0.2509,0.007658600000000015
AUS,Australia,OHI,N,2003,2003,income,0,1,1.526641,21.8,1211.952,0.2398829,0.06646881,0.03262659,0.1141754,0.3350052,989.7919,0.2299258,NA,19.8954,0.02719,0.04649,0.05602,0.0653,0.07596,0.08863,0.1049,0.1265,0.1582,0.2508,0.005335000000000006
AUS,Australia,OHI,N,2004,2004,income,0,1,1.526641,26.5,1319.074,0.3024401,0.08135843,0.03539323,0.1341435,0.3305741,1083.729,0.2078066,NA,20.1274,0.03007,0.04707,0.05651,0.06557,0.07605,0.0882,0.1036,0.1242,0.1556,0.2532,0.00510830000000001
AUS,Australia,OHI,N,2008,2008,income,0,1,1.526641,32.4,1667.808,0.3143238,0.08744058,0.03790576,0.1314845,0.3542851,1312.811,0.2247777,NA,21.2492,0.028,0.04427,0.05341,0.06265,0.07352,0.0857,0.1021,0.1228,0.1533,0.2742,0.004230299999999965
AUS,Australia,OHI,N,2010,2010,income,0,1,1.526641,32.2,1661.805,0.3001493,0.08368007,0.03767422,0.128031,0.3465673,1333.276,0.2163455,NA,22.03175,0.02749,0.04523,0.05477,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646,0.006679700000000011
AUS,Australia,OHI,N,2014,2014,income,0,1,1.526641,37.3,1776.512,0.3272008,0.09614655,0.04338286,0.1573101,0.3439943,1422.331,0.2269756,NA,23.475686,0.02844,0.04599,0.05614,0.06554,0.07467,0.08655,0.1012,0.12,0.1516,0.2698,0.004708500000000004
AUT,Austria,OHI,N,1987,1987,income,0,1,0.8475838,33.5,1308.722,0.3524737,0.07808524,0.02698129,0.09816992,0.2304449,1204.873,0.08815041,NA,7.574586,0.04405,0.05975,0.06962,0.07872,0.08777,0.09753,0.108,0.1215,0.1402,0.1929,0.02749980000000002
AUT,Austria,OHI,N,1994,1994,income,0,1,0.8475838,37.3,1430.712,0.4548201,0.1375725,0.06207865,0.2054511,0.3132234,1210.487,0.1833061,NA,7.936118,0.03031,0.04963,0.06007,0.06952,0.07906,0.09064,0.1047,0.1217,0.1485,0.2459,0.007485400000000031
AUT,Austria,OHI,N,1995,1995,income,0,1,0.8475838,34.1,1219.779,0.469988,0.1663916,0.08763041,0.243981,0.3105927,1088.231,0.2381916,NA,7.948278,0.02293,0.04662,0.05984,0.07184,0.08318,0.09604,0.1107,0.1296,0.1551,0.2241,0.007551799999999997
AUT,Austria,OHI,N,1997,1997,income,0,1,0.8475838,33.4,1369.432,0.3947461,0.1126467,0.05012244,0.1648885,0.3022985,1182.874,0.1661892,NA,7.968041,0.03127,0.05006,0.06114,0.07075,0.08015,0.09265,0.106,0.1236,0.15,0.2344,0.007581599999999966
AUT,Austria,OHI,N,2000,2000,income,0,1,0.8475838,34.3,1452.282,0.354639,0.09469521,0.03949312,0.1307443,0.2883711,1265.831,0.1445856,NA,8.011566,0.03394,0.05246,0.06235,0.07191,0.08197,0.09315,0.1065,0.123,0.1476,0.2271,0.007274399999999959
AUT,Austria,OHI,N,2003,2003,income,0,1,0.8475838,39.8,1490.391,0.4484283,0.1314844,0.05737203,0.1921568,0.2946608,1292.329,0.1621383,NA,8.121423,0.03301,0.0517,0.0622,0.07221,0.08162,0.09218,0.1053,0.1213,0.1458,0.2347,0.005515700000000012
AUT,Austria,OHI,N,2004,2004,income,0,1,0.8475838,34.2,1572.827,0.2985726,0.0777785,0.03136559,0.1073796,0.2978899,1355.833,0.1540466,NA,8.171966,0.03426,0.05121,0.0615,0.07092,0.08101,0.09124,0.1039,0.1207,0.1468,0.2384,0.005905300000000002
AUT,Austria,OHI,N,2005,2005,income,0,1,0.8475838,34,1503.211,0.3176998,0.08138069,0.03315436,0.1141772,0.2871543,1314.52,0.1449956,NA,8.227829,0.03492,0.05267,0.06289,0.07152,0.08189,0.09286,0.1054,0.1224,0.1469,0.2285,0.007380799999999965
AUT,Austria,OHI,N,2006,2006,income,0,1,0.8475838,33.8,1538.908,0.3018144,0.078055,0.03209079,0.1077344,0.2958758,1320.474,0.1523936,NA,8.268641,0.03409,0.05185,0.062330000000000003,0.07103,0.0804,0.09156,0.1045,0.1213,0.1458,0.2371,0.0046256000000000075
AUT,Austria,OHI,N,2007,2007,income,0,1,0.8475838,40,1602.79,0.4013117,0.1217032,0.05504848,0.180623,0.3058,1380.06,0.1753469,NA,8.295487,0.03051,0.04928,0.06055,0.07091,0.08083,0.09244,0.1063,0.1223,0.1484,0.2385,0.00435789999999997
AUT,Austria,OHI,N,2008,2008,income,0,1,0.8475838,33,1629.595,0.2470471,0.07231574,0.03359499,0.1115592,0.3043739,1427.565,0.1748261,NA,8.321496,0.03007,0.04983,0.06161,0.07138,0.08185,0.09325,0.1056,0.1203,0.145,0.2411,0.005292599999999981
AUT,Austria,OHI,N,2009,2009,income,0,1,0.8475838,35,1687.528,0.2802532,0.08377682,0.04009695,0.1442894,0.3149623,1458.459,0.2007922,NA,8.343323,0.02823,0.04845,0.05992,0.07039,0.08087,0.09262,0.1054,0.1207,0.1466,0.2468,0.005096199999999995
AUT,Austria,OHI,N,2010,2010,income,0,1,0.8475838,31.5,1704.589,0.2074017,0.05690739,0.02599357,0.0880004,0.3025226,1485.016,0.1743334,NA,8.363404,0.03082,0.04962,0.06087,0.07119,0.0816,0.09307,0.1062,0.1227,0.1483,0.2357,0.004396999999999984
AUT,Austria,OHI,N,2011,2011,income,0,1,0.8475838,34.1,1672.624,0.2661512,0.07744736,0.03631193,0.1252939,0.3080167,1445.234,0.1836775,NA,8.391643,0.02922,0.04908,0.0602,0.07049,0.08094,0.09292,0.1066,0.1237,0.1499,0.2369,0.005208299999999999
AUT,Austria,OHI,N,2012,2012,income,0,1,0.8475838,37.9,1634.387,0.3392295,0.1035221,0.0493664,0.1661034,0.3047632,1423.737,0.1841198,NA,8.429991,0.02847,0.04945,0.0614,0.07152,0.08171,0.09334,0.1068,0.1233,0.1496,0.2345,0.0041180000000000105
AUT,Austria,OHI,N,2013,2013,income,0,1,0.8475838,39.1,1714.464,0.3431155,0.09734366,0.04267538,0.1416936,0.3075313,1468.636,0.1747446,NA,8.479823,0.03105,0.05004,0.06035,0.07031,0.08083,0.09162,0.1051,0.1216,0.1464,0.2428,0.004316900000000012
AUT,Austria,OHI,N,2014,2014,income,0,1,0.8475838,25.5,1688.033,0.1223997,0.03333668,0.01571841,0.05329809,0.3053568,1471.392,0.1716074,NA,8.546356,0.03094,0.04938,0.06057,0.07104,0.08171,0.093,0.1054,0.1214,0.1459,0.2407,0.0037540999999999963
AUT,Austria,OHI,N,2015,2015,income,0,1,0.8475838,38.9,1681.708,0.3415931,0.1031901,0.04796231,0.1527021,0.3053278,1485.525,0.1942146,NA,8.642699,0.0298,0.0489,0.06067,0.07131,0.08238,0.0941,0.1065,0.1224,0.1456,0.2384,0.0036681000000000075
AUT,Austria,OHI,N,2016,2016,income,0,1,0.8475838,40,1757.885,0.3310778,0.1013978,0.04906702,0.158188,0.3079707,1539.814,0.199713,NA,8.736668,0.02789,0.04942,0.06064,0.07118,0.08163,0.09401,0.1065,0.123,0.1472,0.2385,0.004140499999999991
